Box_Index,Text,Alt1,Alt2,Alt1_Index,Alt2_Index,Cons1,Cons2,ConsProb1,ConsProb2,Image
10,"When you tell your employees about the situation and ask them to work overtime the next weeks, they become very dissatisfied. Specially Anette that is alone mother and is not able to book babysitting every afternoon. In addition, Ludvig has just returned after a sick leave due to earlier burnout and he doesn't want to push him self. What should you do? ",You take your colleagues' wishes into consideration and tell the client that the project going to be some weeks delayed. ,You don't take your colleagues' wishes into consideration and tell them to be finish with their work to the given date.,Finish,Finish,10,11,0.5,0.5,Hurra.jpg
11,Since you don't tell your employees about the situation the project are not finish to the given date from the client. The client is not satisified with this and tell you to hire more people to the project. What do you do?,Hire two more persons ,Don't hire more people,Finish,Finish,18,19,0.5,0.5,Hurra.jpg
12,"The intranet platform is an innovative project, and requires some changes in the company. You, as a project leader, know that there needs to be some reorganization and changes in the administrative, and the employees needs to learn new things and work with other things than they are used to. As a leader, you can choose to make the desicions regarding the innovative project. You know that these changes will cause reactions from some of the employees. How will you as a project leader introduce the new changes? ","I will make all the desisions, since I know that this will result in a sucess in the end. There is no need to involve the employees about the choices made during the change. ","I will as a project leader include the employees, and be open for suggestions about the changes that will be made. It is important that all the members of the project knows about the changes, and that they are accepting why the changes happen. ",13,Finish ,12,13,0.2,0.8,Hurra.jpg
13,"The employees are reacting on the changes that will be made. They are expressing that it is not nesessary to learn new things, as they are happy with their positions and tasks as they are now. However, a couple of the employees seems positive to the new changes. Do you want to use the positive employees as ''ambassadors'' to try to motivate the others?",Yes,"No, there is no need for a group of ''ambassadors'' to motivate the employeers.",Finish,Finish ,15,14,,,Hurra.jpg
14,"To be able to reduce some of the uncertainties connected to the innovative project, one way is to use the tool of ''risk management''. However, this will be costly, and it will require more time before the project development can start up. Do you want to perform a risk assessment of the project before startup? ",No,Yes,Finish,Finish,16,17,,,Hurra.jpg
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,"The customer tries to introduce changes by giving them directly to your technical resources, without going the formal way by processing the changes and making any contract alterations. What do you do?","You put your foot down to the customer, since they cannot introduce changes outside the formal system. ",You accept the changes from the customer and you don't inform the project owner about the situation. ,22,21,,,,,
21,"Due to the changes, the project was delayed and became much more expensive than expected. The project owner was not satisfied that the changes were not processed, and that you didn't give information about the alterations.  The project manager is obliged to keep the project owner informed of the progress of the project",,,Finish,Finish,,,,,
22,"The customer is pushing for delivery to be done at the original time. However, you defy this, and stop the project carry out the process of the alterations. Also, the project owner is informed about these changes. ",,,Finish,Finish,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,"No, it is unecessary to spend a lot of money on a new supplier when we already have one. ",,,,,,,
